average_price,loupan_type,loupan_detailAddress,loupan_title,loupan_region
8600,住宅,岳麓-联丰路398号利海●米兰春天,蔷薇国际,岳麓
13000,商业类,天心-天心区芙蓉中路神农大酒店西150米（雅礼天心中学正对面）,荣悦台,天心
15500,商铺,开福-开福开福区北二环捞刀河路与兴联路交汇处,红星美凯龙,开福
35000,商铺,岳麓-坪塘大道与巡抚路交汇处往东800米,华谊兄弟电影小镇,岳麓
21000,住宅,岳麓-岳麓区梅溪湖国际新城环湖路777号 （梅溪湖摩天轮旁）,晟通牡丹舸,岳麓
7500,住宅,开福-开福区北二环一段169号（楚家湖公园边上）,深业堤亚纳湾,开福
20000,商业类,岳麓-环湖路798号,达美溪湖湾,岳麓
13000,商业类,雨花-雨花区韶山路汽车南站斜对角,裕天国际商汇中心,雨花
11500,住宅,开福-开福区湘江北路三段48号（湘江世纪城北端）,楚天逸品,开福
14500,商业类,雨花-雨花区雨花路88号,大鸿杰座,雨花
15000,商业类,芙蓉-芙蓉区车站北路与火炬路交汇处（烈士公园东门对面）,大汉海派,芙蓉
11500,商业类,芙蓉-芙蓉区远大路与农园路交汇处东南角（临近汽车东站）,恒大江湾,芙蓉
9888,商业类,岳麓-岳麓区含光路与谷丰路交汇处西南角（岳麓区政府西侧）,广泰锦苑,岳麓
14500,写字楼,岳麓-潇湘南大道与岳塘路交汇处,中盈广场,岳麓
14000,写字楼,芙蓉-芙蓉区八一路399-19号(湖南信息大厦西边),壹号座品,芙蓉
15000,住宅,岳麓-岳麓区环湖路与麓云路交汇处（梅溪湖大桥以西）,天祥水晶湾,岳麓
17000,住宅,天心-天心区湘江中路与南湖路交汇处东南角,中建江山壹号,天心
19000,住宅,岳麓-环湖路798号,达美溪湖湾,岳麓
30000,商铺,雨花-雨花区韶山南路与环保大道交汇处东北角（省国税局旁）,汇金城,雨花
30000,商铺,岳麓-岳麓区梅溪湖东方红路与东雷路交汇处（步步高新天地以南）,梅溪鑫苑名家,岳麓
12000,写字楼,雨花-雨花区万家丽路与曲塘路交汇处西北角,五江天街,雨花
8500,住宅,开福-开福区万家丽北路二段18号,财富名园,开福
